"id"	"date"	"datetime"	"tz"	"species"	"best"	"calves"	"com"	"lon"	"lat"
1	2023-03-01	"2023-03-01 11:23:00"	"UTC"	"mnov"	1	0	""	-62.151866	-62.583493
2	2023-03-01	"2023-03-01 11:40:00"	"UTC"	"mnov"	2	0	""	-62.117504	-62.538014
3	2023-03-01	"2023-03-01 11:50:00"	"UTC"	"mnov"	3	0	""	-62.096447	-62.510746
4	2023-03-01	"2023-03-01 11:53:00"	"UTC"	"mnov"	1	0	""	-62.090109	-62.502845
5	2023-03-01	"2023-03-01 13:15:00"	"UTC"	"bphy"	1	0	""	-61.986363	-62.365513
6	2023-03-01	"2023-03-01 14:13:00"	"UTC"	"unlw"	1	0	""	-61.920991	-62.355057
7	2023-03-01	"2023-03-01 14:24:00"	"UTC"	"mnov"	2	0	""	-61.906996	-62.328465
8	2023-03-01	"2023-03-01 14:29:00"	"UTC"	"mnov"	1	0	""	-61.900378	-62.314878
9	2023-03-01	"2023-03-01 14:33:00"	"UTC"	"bphy"	2	0	""	-61.894643	-62.303755
10	2023-03-02	"2023-03-02 15:27:00"	"UTC"	"bphy"	6	0	""	-58.537878	-61.707267
11	2023-03-02	"2023-03-02 15:28:00"	"UTC"	"bphy"	3	0	""	-58.531338	-61.70829
12	2023-03-02	"2023-03-02 15:34:00"	"UTC"	"mnov"	2	0	""	-58.49322	-61.714042
13	2023-03-02	"2023-03-02 15:35:00"	"UTC"	"bphy"	1	0	""	-58.48686	-61.715031
14	2023-03-02	"2023-03-02 15:41:00"	"UTC"	"blow"	1	0	""	-58.447898	-61.720907
15	2023-03-02	"2023-03-02 16:34:00"	"UTC"	"mnov"	6	0	""	-58.321877	-61.74084
16	2023-03-02	"2023-03-02 16:34:00"	"UTC"	"bphy"	2	0	""	-58.321877	-61.74084
17	2023-03-02	"2023-03-02 17:00:00"	"UTC"	"bphy"	2	0	""	-58.33762	-61.738395
18	2023-03-02	"2023-03-02 17:20:00"	"UTC"	"bphy"	2	0	""	-58.361784	-61.733112
19	2023-03-02	"2023-03-02 17:26:00"	"UTC"	"bphy"	4	0	""	-58.368892	-61.731304
20	2023-03-02	"2023-03-02 17:29:00"	"UTC"	"bphy"	3	0	""	-58.372444	-61.730367
21	2023-03-02	"2023-03-02 18:11:00"	"UTC"	"blow"	4	0	""	-58.383091	-61.704929
22	2023-03-02	"2023-03-02 18:22:00"	"UTC"	"blow"	2	0	""	-58.360537	-61.674034
23	2023-03-02	"2023-03-02 21:13:00"	"UTC"	"blow"	2	0	""	-58.322689	-61.399831
24	2023-03-02	"2023-03-02 21:39:00"	"UTC"	"blow"	2	0	""	-58.388263	-61.418824
